DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2020-01-01,10,9,6,9,10,10,0,78,10,1032,32.375,10,7,9,113,113,122,0,3,5.2,météo défavorable
2020-01-02,9,7,15,7,8,9,0,79,10,1033,74.25,10,6,5,116,122,122,0,3,3.4,météo défavorable
2020-01-03,13,10,8,9,11,12,0,85,10,1030,64,13,8,9,122,122,116,0,3,8.7,météo correcte
2020-01-04,14,11,32,11,13,12,0,67,10,1031,1.875,14,6,8,116,113,113,0,4,8.7,météo correcte
2020-01-05,11,7,24,7,9,9,0,64,10,1030,0,11,3,5,113,113,113,0,3,8.7,météo défavorable
2020-01-06,10,8,15,7,10,8,0,76,10,1031,65.25,11,7,6,122,119,119,0,3,3.4,météo défavorable
2020-01-07,14,9,16,8,12,13,0,74,10,1030,14.25,14,7,7,116,116,116,0,4,8.7,météo correcte
2020-01-08,14,10,8,9,12,13,0,74,10,1031,11.125,14,8,9,116,116,116,0,4,8.7,météo correcte
2020-01-09,12,8,14,8,11,12,0.1,79,10,1030,47.25,12,9,7,122,116,116,0,4,8.7,météo défavorable
2020-01-10,13,11,20,11,13,12,2.5,79,9.875,1028,49.125,13,9,9,353,116,116,0,3,8.7,météo correcte
2020-01-11,11,8,17,8,10,10,0,69,10,1031,1.375,11,4,6,113,113,113,0,3,8.7,météo défavorable
2020-01-12,12,8,8,7,11,11,0,59,10,1030,17.5,12,3,6,116,113,116,0,3,6.9,météo défavorable
2020-01-13,10,7,9,7,9,9,0,72,10,1028,51.375,10,5,6,116,122,116,0,3,6.9,météo défavorable
2020-01-14,13,11,19,10,12,12,0.3,82,10,1022,64.5,13,9,10,116,176,176,0,4,6.9,météo correcte
2020-01-15,13,12,28,12,13,12,3.7,82,10,1027,81.125,13,9,10,353,353,353,0,3,3.4,météo défavorable
2020-01-16,12,9,15,9,11,12,0.7,82,9.75,1028,59.25,12,9,7,116,116,176,0,3,3.4,météo défavorable
2020-01-17,13,12,31,12,13,12,5.7,88,9.75,1029,71.875,13,10,8,353,293,176,0,3,5.2,météo défavorable
2020-01-18,11,7,15,8,9,11,0,67,10,1030,10.625,11,3,5,116,116,116,0,3,8.7,météo défavorable
2020-01-19,8,7,48,7,8,8,0,64,10,1030,64.375,8,0,2,116,122,122,0,3,3.5,météo très défavorable
